date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2020-06-01,8,11,42,30,59,5,155
2020-06-02,18,12,68,62,187,8,355
2020-06-03,33,15,47,112,104,3,314
2020-06-04,19,19,37,69,79,3,226
2020-06-05,12,3,52,40,73,1,181
2020-06-06,7,9,31,44,59,0,150
2020-06-07,10,2,14,22,31,2,81
2020-06-08,7,4,31,36,46,3,127
2020-06-09,11,4,45,33,41,1,135
2020-06-10,7,4,30,29,50,0,120
2020-06-11,10,5,33,31,37,2,118
2020-06-12,5,4,37,26,41,2,115
2020-06-13,5,2,24,25,32,2,90
2020-06-14,4,1,18,24,32,1,80
2020-06-15,3,5,29,32,26,2,97
2020-06-16,11,1,35,40,32,0,119
2020-06-17,13,5,42,43,73,5,181
2020-06-18,12,1,39,34,38,0,124
2020-06-19,7,7,25,31,29,0,99
2020-06-20,1,4,18,37,31,4,95
2020-06-21,5,1,22,54,20,1,103
2020-06-22,4,1,22,41,39,2,109
2020-06-23,5,1,36,46,39,1,128
2020-06-24,7,14,42,33,43,2,141
2020-06-25,5,5,40,42,53,3,148
2020-06-26,8,8,50,23,35,2,126
2020-06-27,6,5,22,19,25,0,77
2020-06-28,6,3,25,19,18,15,86
2020-06-29,39,8,73,26,46,6,198
2020-06-30,18,7,54,38,52,0,169
2020-07-01,4,11,43,30,63,5,156
2020-07-02,12,5,46,38,87,4,192
2020-07-03,7,5,36,39,56,0,143
2020-07-04,8,3,17,39,25,0,92
2020-07-05,11,5,82,39,91,2,230
2020-07-06,39,18,198,101,215,4,575
2020-07-07,21,5,95,49,96,38,304
2020-07-08,124,3,66,63,101,7,364
2020-07-09,32,7,80,38,75,10,242
2020-07-10,14,8,52,41,67,36,218
2020-07-11,14,10,61,32,54,13,184
2020-07-12,2,5,25,30,37,7,106
2020-07-13,12,12,55,32,44,4,159
2020-07-14,8,7,47,37,47,4,150
2020-07-15,6,5,47,41,67,2,168
2020-07-16,7,3,47,42,63,6,168
2020-07-17,12,10,35,42,65,2,166
2020-07-18,11,8,28,34,45,9,135
2020-07-19,7,8,32,34,30,4,115
2020-07-20,6,3,42,42,36,4,133
2020-07-21,17,4,62,33,47,3,166
2020-07-22,11,6,45,27,54,2,145
2020-07-23,13,6,46,35,72,7,179
2020-07-24,3,2,32,43,59,5,144
2020-07-25,9,5,16,40,38,2,110
2020-07-26,3,2,41,19,28,0,93
2020-07-27,7,7,37,25,45,3,124
2020-07-28,6,4,50,38,54,5,157
2020-07-29,5,6,38,34,67,0,150
2020-07-30,7,2,34,31,57,0,131
2020-07-31,11,13,37,54,83,0,198
2020-08-01,11,5,28,42,34,2,122
2020-08-02,7,4,21,29,32,4,97
2020-08-03,13,4,38,36,53,5,149
2020-08-04,9,6,41,31,80,2,169
2020-08-05,7,5,52,56,89,3,212
2020-08-06,8,4,64,47,61,3,187
2020-08-07,6,1,56,38,75,1,177
2020-08-08,26,6,109,68,315,4,528
2020-08-09,22,3,65,41,187,1,319
